epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.7051766514778137,0.6329100131988525,0.5974524617195129,0.001,0.6797604560852051,0.6941048502922058,0.239166259765625,0.5964494943618774,2.2335846424102783,0.6110334992408752,0.6165773272514343
1,0.7969586849212646,0.797958493232727,0.490707129240036,0.001,0.884299635887146,0.8778352737426758,0.23189900815486908,0.6854875087738037,2.9172775745391846,0.733957052230835,0.7710525989532471
2,0.8353942632675171,0.8587062358856201,0.42535603046417236,0.001,0.935502290725708,0.9359212517738342,0.23191732168197632,0.7464356422424316,3.2527670860290527,0.818105161190033,0.7761679887771606
3,0.8670784831047058,0.8989678621292114,0.3656858205795288,0.001,0.9587493538856506,0.9656936526298523,0.23210449516773224,0.7690085172653198,3.249826669692993,0.8881626725196838,0.7603611350059509
4,0.8864196538925171,0.9264755845069885,0.3182406723499298,0.001,0.9763639569282532,0.9794199466705322,0.23295694589614868,0.7932104468345642,2.7751307487487793,0.8932577967643738,0.8357281684875488
5,0.8992536067962646,0.9413971900939941,0.284236878156662,0.001,0.9820855259895325,0.9858726263046265,0.23707479238510132,0.8057261109352112,2.481194019317627,0.9048622846603394,0.8727564215660095
6,0.9110656976699829,0.9539830088615417,0.2550811767578125,0.001,0.9887715578079224,0.991014301776886,0.2532796263694763,0.8175394535064697,2.110866069793701,0.9083234667778015,0.866473376750946
7,0.9200657606124878,0.9624260663986206,0.2321895807981491,0.001,0.9918795228004456,0.9937528967857361,0.3512308895587921,0.8331075310707092,1.404877781867981,0.9205428957939148,0.8963183760643005
8,0.9253295660018921,0.9674553275108337,0.21633270382881165,0.001,0.9932451248168945,0.994825005531311,0.3929911255836487,0.8418099880218506,1.2485896348953247,0.9242236614227295,0.9154136180877686
9,0.9291486740112305,0.9691929221153259,0.20452634990215302,0.001,0.9913973212242126,0.9961026310920715,0.5199015140533447,0.8506466150283813,0.9399113059043884,0.9354240894317627,0.9236639142036438
10,0.9352948665618896,0.9745224118232727,0.18811410665512085,0.001,0.9938691258430481,0.9972724914550781,0.5826070308685303,0.8539779186248779,0.8310468196868896,0.9365309476852417,0.9231528639793396
11,0.9390249848365784,0.9776681065559387,0.17672431468963623,0.001,0.9945741891860962,0.997725784778595,0.7029581665992737,0.8637447953224182,0.6231032013893127,0.9446040391921997,0.932358980178833
12,0.9429347515106201,0.9798324704170227,0.1661517322063446,0.001,0.9947929978370667,0.9984501600265503,0.7929117679595947,0.869148313999176,0.478554904460907,0.9432951211929321,0.941260576248169
13,0.9423636198043823,0.9801728129386902,0.16291506588459015,0.001,0.9948983788490295,0.9981701970100403,0.7923421263694763,0.8831945657730103,0.4704219698905945,0.9516053795814514,0.9551398754119873
14,0.9471540451049805,0.9816590547561646,0.15308146178722382,0.001,0.9952144622802734,0.9987923502922058,0.8055684566497803,0.8914703726768494,0.44342929124832153,0.9587209820747375,0.95953768491745
15,0.9501752853393555,0.9844004511833191,0.144138902425766,0.001,0.9966691732406616,0.9990045428276062,0.8142802119255066,0.9022005200386047,0.4197484254837036,0.966337263584137,0.9632074236869812
16,0.9506844878196716,0.9844470620155334,0.1412033587694168,0.001,0.9958871006965637,0.999118983745575,0.8681579828262329,0.8933250308036804,0.33471158146858215,0.9400184750556946,0.9711108207702637
17,0.9530526399612427,0.9853633642196655,0.1350921243429184,0.001,0.9967663884162903,0.9992645382881165,0.8745951056480408,0.9082913994789124,0.3169635236263275,0.9549347758293152,0.9766842722892761
18,0.9545052647590637,0.9869879484176636,0.1298597902059555,0.001,0.9966691732406616,0.999345600605011,0.8790506720542908,0.9124183654785156,0.3066377639770508,0.9571573138237,0.9795226454734802
19,0.9568045735359192,0.9876209497451782,0.1243315041065216,0.001,0.996259868144989,0.9995611310005188,0.8776509761810303,0.9034587144851685,0.3105829954147339,0.9353362321853638,0.9796602725982666
20,0.9560276865959167,0.988243043422699,0.12368342280387878,0.001,0.9974876642227173,0.9993400573730469,0.8817301392555237,0.908078670501709,0.301913857460022,0.9447533488273621,0.9824298024177551
21,0.9576607942581177,0.9883413314819336,0.1196536049246788,0.001,0.9970014095306396,0.9995867013931274,0.8937927484512329,0.9230090975761414,0.2755257487297058,0.9604251980781555,0.9862372279167175
22,0.9594526290893555,0.9894841909408569,0.11451669782400131,0.001,0.9982981085777283,0.9996533989906311,0.8867553472518921,0.9286081790924072,0.28222891688346863,0.971010684967041,0.982194185256958
23,0.9611258506774902,0.9902958273887634,0.11019374430179596,0.001,0.998091459274292,0.9996711611747742,0.896069347858429,0.9270662069320679,0.27004116773605347,0.9596521258354187,0.9872989654541016
24,0.9631713628768921,0.9911513328552246,0.10509658604860306,0.001,0.9980995655059814,0.9997822642326355,0.895220935344696,0.925634503364563,0.27417126297950745,0.948495626449585,0.9869282841682434
25,0.9644321799278259,0.9916239976882935,0.1016368493437767,0.001,0.9978118538856506,0.9997789263725281,0.8981404900550842,0.931207537651062,0.2659648656845093,0.9576140642166138,0.9877569675445557
26,0.964385986328125,0.9916574358940125,0.10073819011449814,0.001,0.9985817670822144,0.9997866749763489,0.8969441652297974,0.9301013350486755,0.27158790826797485,0.9573066234588623,0.988048255443573
27,0.9652204513549805,0.9915690422058105,0.09899293631315231,0.001,0.9981846213340759,0.9998089075088501,0.8949788212776184,0.9272117614746094,0.27989161014556885,0.962085485458374,0.9878178834915161
